PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Al Horford,BOS,32,19,11,8,35.7,15.7,5.8,10.7,54.4,0.8,2.3,34.9,3.3,3.9,82.7,1.7,6.6,8.3,3.3,1.7,1,1.2,2.1,35.4,7,0,3.7
Eric Gordon,HOU,29,17,11,6,32.3,15.4,4.9,13,38,2.5,7.6,33.1,3,3.6,83.6,0.5,2.1,2.6,1.6,1.4,0.6,0.5,1.7,22.8,0,0,-0.1
Karl-Anthony Towns,MIN,22,5,1,4,33.9,15.2,5.6,12,46.7,0.6,2.2,27.3,3.4,4.6,73.9,3,10.4,13.4,2.2,2.4,0.4,1,2.8,36.4,3,0,-8.6
Nikola Mirotic,NOP,27,9,5,4,35.5,15,5.4,11.3,48,2.4,5.7,43.1,1.7,2.1,78.9,1,8.6,9.6,1.7,1.1,1.1,1.3,2.7,35.2,3,0,2.7
Kevin Love,CLE,29,21,11,10,31.4,14.9,5.2,13.2,39.2,1.7,5,34,2.8,3,92.2,2.3,7.9,10.2,1.6,2,0.7,0.4,2.8,31,8,0,-0.7
Jonas Valanciunas,TOR,26,10,4,6,24.4,14.6,5.8,10.7,54.2,0.2,0.5,40,2.8,3.4,82.4,3,7.5,10.5,1.2,1.9,0.4,1.5,2.2,32.8,6,0,2.5
Joe Ingles,UTA,30,11,5,6,34.8,14.5,5.2,11,47.1,3.2,7,45.5,1,1.5,64.7,0.5,3.9,4.4,3.4,2.4,0.5,0.2,2.6,24.6,0,0,2.1
Derrick Rose,MIN,29,5,1,4,23.8,14.2,5.8,11.4,50.9,1.4,2,70,1.2,1.4,85.7,0.2,1.6,1.8,2.6,1.6,0.4,0,1.8,19.9,0,0,0.2
Ricky Rubio,UTA,27,6,4,2,30.1,14,4.7,13.2,35.4,1.7,5.3,31.3,3,3.8,78.3,0.8,6.5,7.3,7,3,1.3,0.5,2.2,35.8,2,1,5.2
Eric Bledsoe,MIL,28,7,3,4,32.1,13.6,5.3,12,44,1,3.1,31.8,2,2.9,70,0.4,3.1,3.6,3.7,2.1,1,0.9,2.7,26.9,0,0,2.4
Patty Mills,SAS,29,5,1,4,33,13.4,5,11.4,43.9,2.6,7,37.1,0.8,1,80,0.4,1.6,2,2.6,1.8,0.6,0.2,3,20.3,0,0,-4.8
Rudy Gobert,UTA,26,11,5,6,34.8,13.2,5,7.6,65.5,0,0,0,3.2,5.3,60.3,3.9,6.8,10.7,1,1.9,0.9,2.3,3.1,35.2,7,0,-2.5
Jeff Teague,MIN,30,5,1,4,30.6,13,4.6,10.2,45.1,1.4,3.6,38.9,2.4,3.4,70.6,0.6,3,3.6,5.8,2.8,0.6,0.4,3.8,26.2,0,0,-11
Marco Belinelli,PHI,32,10,5,5,27.3,12.9,4.3,10.6,40.6,1.6,4.6,34.8,2.7,3.1,87.1,0.1,2,2.1,2,0.4,0.7,0,2,20.1,0,0,3.9
Kelly Olynyk,MIA,27,5,1,4,29.2,12.8,4.2,8.8,47.7,1.6,3.8,42.1,2.8,4,70,1.4,3.2,4.6,3.8,1.6,1.4,1.2,3.8,30.2,0,0,-2.4
Clint Capela,HOU,24,17,11,6,30.6,12.7,5.6,8.5,66,0,0,0,1.5,3.2,47.3,3.6,8,11.6,1.3,0.9,0.8,2.1,2.2,36.5,7,0,2.2
Bojan Bogdanovic,IND,29,7,3,4,34,12.4,4.6,11.6,39.5,2.4,6.4,37.8,0.9,1.4,60,0.1,3.3,3.4,1.9,1.9,0.9,0,3.3,20,0,0,4.9
Domantas Sabonis,IND,22,7,3,4,23.7,12.4,5.1,8.9,58.1,0.1,1,14.3,2,2.6,77.8,2,2.6,4.6,0.7,1,0.1,0.3,3.1,19.3,0,0,1.7
Myles Turner,IND,22,7,3,4,28,12.4,4.7,7.7,61.1,0.9,1.9,46.2,2.1,2.7,78.9,0.9,4.3,5.1,0.6,1.6,0.3,0.6,3.6,20.5,0,0,5.7
Marcus Morris Sr.,BOS,28,19,11,8,29.6,12.4,4.3,11.7,36.8,1.6,3.8,41.7,2.2,3.1,71.2,1.1,4.4,5.4,1.1,1,0.4,0.3,3.2,21.5,2,0,0.9
James Johnson,MIA,31,5,1,4,32.1,12.4,4.6,8.4,54.8,1.4,2.6,53.8,1.8,2.8,64.3,0.6,5.4,6,4.8,2,1.2,1.2,3.4,32,0,0,-8.4
Rudy Gay,SAS,31,5,1,4,31.9,12.2,5.2,13,40,0.8,3.6,22.2,1,1.8,55.6,1.8,3.8,5.6,2.2,1.2,1.6,0.2,3.2,26.4,0,0,-1.6
Carmelo Anthony,OKC,34,6,2,4,32.3,11.8,4.5,12,37.5,1,4.7,21.4,1.8,2.5,73.3,0.5,5.2,5.7,0.3,1,1.7,0.7,2.3,25.1,0,0,-9.7
Jamal Crawford,MIN,38,5,1,4,24.6,11.8,4.2,9.4,44.7,1.4,3.4,41.2,2,2.6,76.9,0.2,2.4,2.6,2.4,1,1,0,1.2,20.5,0,0,-1
Jusuf Nurkic,POR,23,4,0,4,23.4,11.8,4.8,9.8,48.7,0,0,0,2.3,2.8,81.8,3,5,8,1,0.8,1.5,1.3,3.5,30.4,2,0,-7.3
E'Twaun Moore,NOP,29,9,5,4,31.6,11.3,4.6,9.8,46.6,1,2.8,36,1.2,1.8,68.8,0.7,1.9,2.6,1.7,1.2,0.7,0.1,2.2,18,0,0,2.4
Darren Collison,IND,30,7,3,4,30.6,11.3,4.4,9.7,45.6,1.1,3.3,34.8,1.3,1.7,75,0.1,2.9,3,4.7,1.3,1,0,1,23.7,0,0,3.3
Thaddeus Young,IND,30,7,3,4,33.8,11.3,5.1,8.6,60,0.3,1,28.6,0.7,1.9,38.5,3.1,4.6,7.7,1.4,1,1.7,0.9,3.1,29.4,2,0,2
Mike Scott,WAS,29,6,2,4,21,10.8,4.3,6.8,63.4,1.2,1.8,63.6,1,1,100,1,2.5,3.5,0.7,0.8,0.3,0.2,1.7,16.7,0,0,5.5
Draymond Green,GSW,28,21,16,5,39,10.8,4,9.1,43.2,1,3.8,26.6,1.9,2.3,79.6,2,8.6,10.6,8.1,3,2,1.5,3.6,42.9,11,1,8.7
Steven Adams,OKC,24,6,2,4,33.4,10.5,4.5,7.7,58.7,0,0,0,1.5,2.2,69.2,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,25.1,1,0,-2.5
Lance Stephenson,IND,27,7,3,4,21.3,10.4,4.3,9.3,46.2,1.1,3.7,30.8,0.7,1.3,55.6,0.4,2.3,2.7,2.9,1.3,0.3,0.1,2.9,18,0,0,0.1
Rajon Rondo,NOP,32,9,5,4,33.6,10.3,4.2,10.2,41.3,0.9,2.1,42.1,1,1.6,64.3,1,6.6,7.6,12.2,3.7,1.4,0.2,2.2,39.1,4,0,1.8
Jabari Parker,MIL,23,7,3,4,23.9,10,4,8.9,45.2,0.9,2.7,31.6,1.1,1.9,61.5,1.1,5,6.1,1.4,0.9,1,0.6,2.1,23.4,0,0,-2.3
Jae Crowder,UTA,27,11,5,6,29.4,10,3.2,9.8,32.4,2,6,33.3,1.6,2.5,64.3,0.4,4.7,5.1,1.7,1.3,1.4,0.2,2.3,22.1,1,0,-5.9
Otto Porter Jr.,WAS,25,5,2,3,31.6,10,4,8.2,48.8,1,2.4,41.7,1,1.6,62.5,0.2,4.8,5,1.6,0.6,1.2,1,1.2,24.4,0,0,-1.8
Markieff Morris,WAS,28,6,2,4,30.2,9.8,4,8.2,49,0.3,2,16.7,1.5,1.7,90,2.3,5.2,7.5,1.7,1,0.7,0.8,3.7,24.8,2,0,-4.5
Justise Winslow,MIA,22,5,1,4,25,9.8,3,8.4,35.7,1.4,3.8,36.8,2.4,3.4,70.6,1.4,5.2,6.6,2.6,1.6,0.8,0.8,3.4,24.8,1,0,-3.6
Marcus Smart,BOS,24,15,9,6,29.9,9.8,3.2,9.5,33.6,1,4.5,22.1,2.4,3.3,73.5,0.9,2.8,3.7,5.3,2.4,1.7,0.7,2.9,27.1,0,0,1.3
CJ Miles,TOR,31,10,4,6,22.7,9.6,3.2,7.1,45.1,1.9,4.5,42.2,1.3,1.6,81.3,0.6,1.8,2.4,0.8,0.9,0.7,0.3,2.1,15.8,0,0,-2.4
John Henson,MIL,27,2,0,2,37.1,9.5,4.5,6.5,69.2,0,0,0,0.5,1,50,2,4,6,2.5,2,0,3.5,2,29,0,0,0
Jordan Crawford,NOP,29,2,1,1,7.7,9.5,4,6.5,61.5,1.5,4,37.5,0,0,0,0,2,2,0.5,1.5,0.5,0,0.5,12.7,0,0,-4
Evan Turner,POR,29,3,0,3,28.9,9.3,4,11,36.4,0.7,2.3,28.6,0.7,0.7,100,1.7,2.3,4,3.3,2,1,0.3,2.7,21.1,0,0,-6.7
Kelly Oubre Jr.,WAS,22,6,2,4,24.7,9.3,3,8,37.5,0.7,3.2,21.1,2.7,3,88.9,0.2,3.7,3.8,0.7,0.8,1,0.5,2.7,18.6,0,0,0.7
Ersan Ilyasova,PHI,31,10,5,5,23.3,9.3,3.6,8.4,42.9,0.9,3.1,29,1.2,2.1,57.1,2.6,5,7.6,1.3,1,0.7,0.4,2.5,22.7,2,0,4.7
Derrick Favors,UTA,26,11,5,6,26,9.3,3.8,6.2,61.8,0.2,0.5,40,1.5,3,48.5,1.8,3.4,5.2,1.2,0.9,0.7,1,1.5,21.5,1,0,3.3
George Hill,CLE,32,19,10,9,29.3,9.2,3.1,6.9,45,0.8,2.7,31.4,2.2,2.8,77.4,0.7,1.5,2.2,2.2,1.2,0.5,0.4,2.7,16.8,0,0,0.9
Alec Burks,UTA,26,9,4,5,13.4,9.1,3.3,7.1,46.9,1,2.2,45,1.4,1.7,86.7,0.2,2.4,2.7,1.9,0.9,0.4,0.1,1,15.9,0,0,0.4
Manu Ginobili,SAS,40,5,1,4,21.3,9,3,7.4,40.5,1.2,3.6,33.3,1.8,2.2,81.8,0.2,2.8,3,3.2,1.4,1.4,0.2,2.6,20.8,0,0,-0.8
P.J. Tucker,HOU,33,17,11,6,33.5,8.9,3.1,6.4,48.1,2.1,4.4,46.7,0.7,1.1,66.7,1.4,5.2,6.5,1.3,0.8,0.6,0.8,2.7,22.1,1,0,5.6
Trevor Ariza,HOU,33,17,11,6,34.2,8.8,2.9,8.2,36,1.5,5.4,28.6,1.4,1.8,74.2,0.5,3.3,3.8,1.3,0.6,1.1,0.1,2.6,18.4,0,0,4.8
Malcolm Brogdon,MIL,25,7,3,4,26.6,8.7,3.4,7.9,43.6,0.7,2.7,26.3,1.1,1.4,80,0.4,3,3.4,2.4,1.7,0.1,0,2,15.2,0,0,-4
Serge Ibaka,TOR,28,10,4,6,26,8.7,3,7.2,41.7,0.9,2.4,37.5,1.8,2.2,81.8,1.3,4.6,5.9,1.1,1.6,0.1,1.3,2.1,20,1,0,-0.5
JR Smith,CLE,32,22,12,10,32.1,8.7,3,8.5,34.8,2,5.5,36.7,0.8,1,77.3,0.5,2.3,2.7,1.1,0.9,1,0.2,2.5,16.2,0,0,-0.5
Marcin Gortat,WAS,34,6,2,4,26.6,8.7,4,7.2,55.8,0,0,0,0.7,1.2,57.1,2.2,4.2,6.3,1,1,0,0.3,2.5,17.8,1,0,-0.2
Delon Wright,TOR,26,10,4,6,21.5,8.6,3.1,6.8,45.6,0.9,2.1,42.9,1.5,1.6,93.8,0.3,1.9,2.2,2.3,0.9,1.5,0.9,1,21,0,0,-0.9
Josh Richardson,MIA,24,5,1,4,25.9,8.4,3,8,37.5,1.2,3.8,31.6,1.2,1.4,85.7,0.8,2.2,3,2.8,1,2.2,1,3.4,24.8,0,0,-9.2
Kyle Korver,CLE,37,22,12,10,22.9,8.3,2.7,6.4,41.8,2,5,41.3,0.9,1,86.4,0.3,2.1,2.4,0.9,0.6,0.4,0.4,2,14.2,0,0,2
Andre Iguodala,GSW,34,15,12,3,26.8,8.1,2.8,5.7,49.4,0.9,2.5,37.8,1.6,2.3,70.6,0.7,3.8,4.5,2.7,0.9,1.4,0.5,1.9,22.3,0,0,7.3
Robert Covington,PHI,27,10,5,5,28.1,8.1,2.7,8.3,32.5,1.5,4.8,31.3,1.2,1.6,75,1.2,4.1,5.3,2.5,1.1,1.1,0.9,3,23.1,0,0,-0.6
Maurice Harkless,POR,25,2,0,2,26.6,8,3.5,6.5,53.8,1,3,33.3,0,0,0,1.5,2.5,4,2,0.5,0,0.5,2,16.8,0,0,-3
Tyler Johnson,MIA,26,5,1,4,16.2,8,2.8,5.2,53.8,1.2,2,60,1.2,1.4,85.7,0.2,1.4,1.6,0.8,0.4,0.4,0,2.8,11.9,0,0,-3.8
OG Anunoby,TOR,20,10,4,6,23.8,7.9,2.9,5.2,55.8,1.3,2.9,44.8,0.8,1.1,72.7,0.9,1.2,2.1,0.7,0.6,0.6,0.4,2.3,13.9,0,0,-2.3
Dejounte Murray,SAS,21,5,1,4,19.2,7.8,2.8,6.2,45.2,0.8,1.2,66.7,1.4,1.8,77.8,0.8,3.4,4.2,1.8,1,1,0.4,2.2,18.7,0,0,-3.2
Wayne Ellington,MIA,30,5,1,4,20.1,7.8,2.4,7,34.3,2.4,6,40,0.6,0.6,100,0.2,1.4,1.6,0.6,0.6,0.4,0.4,1.8,12.4,0,0,-8.8
Ian Clark,NOP,27,9,5,4,21.1,7.8,3.1,7.3,42.4,1.1,3.1,35.7,0.4,0.4,100,0.2,0.9,1.1,1.2,1,0.9,0.2,2.2,13.3,0,0,-4.2
Jeff Green,CLE,31,22,12,10,23.8,7.7,2.6,6.5,40.8,1,3.2,30,1.5,2.1,71.7,0.3,2.1,2.4,1.5,0.8,0.3,0.7,1.6,15,0,0,-1.6
Jerami Grant,OKC,24,6,2,4,22.1,7.2,3,5.8,51.4,0.3,1.3,25,0.8,1.8,45.5,1.3,2,3.3,1,1,0.7,0.5,2.5,15.2,0,0,4.8
Royce O'Neale,UTA,25,11,5,6,23.5,7.1,2.5,5.1,50,0.9,2.5,35.7,1.1,1.7,63.2,0.3,3.2,3.5,1.4,1.5,0.9,0.4,2.7,15.6,0,0,-6.1
Zach Collins,POR,20,4,0,4,17.4,7,2.8,7.5,36.7,0.8,3.5,21.4,0.8,1,75,0.8,2.3,3,1.5,0.5,0.8,0.5,2.5,16.1,0,0,-6
Fred VanVleet,TOR,24,6,2,4,19.1,6.8,2.2,6.5,33.3,1.3,4.7,28.6,1.2,1.3,87.5,0,1.7,1.7,2.2,0.7,0,0,1.3,11.4,0,0,1
Shaun Livingston,GSW,32,21,16,5,17.2,6.7,2.8,5.2,53.6,0,0,0,1,1.2,88,0.5,1.7,2.2,1.5,0.8,0.3,0,1.6,11.9,0,0,2.8
Pascal Siakam,TOR,24,10,4,6,17.9,6.6,2.5,4.1,61,0.3,0.4,75,1.3,2,65,0.9,2.7,3.6,0.8,0.7,0.1,0.6,2.7,13.5,0,0,-1.9
Tony Parker,SAS,36,5,1,4,13.3,6.6,2.8,7.4,37.8,0,1,0,1,1.4,71.4,0,0.8,0.8,1.2,0.8,0.4,0,0.4,9.8,0,0,-7.2
JaVale McGee,GSW,30,13,11,2,12.2,6.5,3,4.5,67.2,0,0.1,0,0.5,0.7,66.7,1.2,2,3.2,0.3,0.4,0.2,0.8,1.5,13.6,0,0,2.8
