PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Matt Maloney,HOU,25,16,9,7,33,11.2,3.8,9.6,39.9,2.7,6.8,39.8,0.9,1.3,66.7,0.1,1.1,1.2,3.1,2.4,0.6,0.2,1.9,17.4,0,0,1.6
Charles Barkley,HOU,34,16,9,7,37.9,17.9,5.4,12.4,43.4,0.7,2.4,28.9,6.4,8.4,76.9,4,8,12,3.4,2.7,1.2,0.4,3.3,39.5,10,0,1.6
Mario Elie,HOU,33,16,9,7,37.4,11.5,3.4,7.3,46.6,1.5,3.8,40,3.3,3.9,83.9,1.2,2.3,3.5,3.8,1.9,0.9,0.3,3.3,22.9,0,0,1.4
Chris Whitney,WAS,25,3,0,3,6.7,2.3,0.7,1.7,40,0.7,1.3,50,0.3,0.3,100,0,0.7,0.7,0.7,1.7,0,0,0.3,2.5,0,0,1.3
Jud Buechler,CHI,29,18,14,4,7.7,1.8,0.7,1.7,41.9,0.2,0.7,33.3,0.2,0.3,60,0.5,0.8,1.3,0.3,0.1,0.2,0.1,0.8,4.4,0,0,1.3
Dennis Rodman,CHI,36,19,15,4,28.1,4.2,1.6,4.3,37,0.2,0.8,25,0.8,1.4,57.7,3.1,5.3,8.4,1.4,1.5,0.5,0.2,3.9,17.1,2,0,1.2
Steve Kerr,CHI,31,19,15,4,17.9,5,1.7,4.1,42.9,0.8,2.2,38.1,0.7,0.7,92.9,0.2,0.7,0.9,1.1,0.4,0.9,0.1,1.3,10.3,0,0,1.2
Chris Morris,UTA,31,20,13,7,8.8,2.9,1,2.5,40,0.4,1.3,32,0.5,0.8,60,0.3,1.4,1.6,0.3,0.3,0.4,0.2,0.9,6.5,0,0,1
Muggsy Bogues,CHH,32,2,0,2,28.7,16,5.5,9.5,57.9,3,3.5,85.7,2,2,100,0.5,1,1.5,2.5,3,0.5,0,1.5,20.1,0,0,1
Richard Manning,LAC,27,3,0,3,7,3,0.7,3,22.2,0,0,0,1.7,2,83.3,1,0.3,1.3,0.3,0,0,0.3,1.7,6.1,0,0,1
Ricky Pierce,CHH,37,3,0,3,29,7.7,3.7,8,45.8,0.3,2.3,14.3,0,0,0,0.3,2.3,2.7,1.3,1,0.7,0,2.7,13.9,0,0,1
Shane Heal,MIN,26,2,0,2,0.8,3,1,1,100,1,1,100,0,0,0,0,0,0,0.5,0,0,0,0,3.8,0,0,1
Buck Williams,NYK,37,10,6,4,19.2,4.3,1.7,3.5,48.6,0,0,0,0.9,1.7,52.9,1.3,2.7,4,0.6,0.4,0.3,0.4,3.4,11.7,0,0,0.8
Howard Eisley,UTA,24,20,13,7,10.9,5.6,1.9,3.8,50,0.5,1,47.4,1.4,1.4,96.4,0.2,0.7,0.9,2,0.9,0.2,0,1.4,9.3,0,0,0.8
Mookie Blaylock,ATL,30,10,4,6,44.2,16.4,6.1,15.4,39.6,2.8,8.5,32.9,1.4,2.1,66.7,1.2,5.8,7,6.5,3.5,2.1,0.2,1.5,38,3,0,0.7
Terry Porter,MIN,34,3,0,3,15.5,5.3,1.7,4.3,38.5,1,3,33.3,1,1.3,75,0.3,0.7,1,3,0.7,0.7,0.7,0.7,14.4,0,0,0.7
Othella Harrington,HOU,23,7,4,3,2.1,1.3,0.1,0.3,50,0,0,0,1,1.4,70,0.1,0.4,0.6,0,0.3,0,0,0.1,1.7,0,0,0.6
Terry Dehere,LAC,25,2,0,2,2.8,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.1,0,0,0.5
Terry Mills,DET,29,5,2,3,39.2,11.8,4.8,11,43.6,1.8,5.2,34.6,0.4,0.8,50,0.8,6.2,7,1.4,0.8,1.2,0,2.8,25.1,1,0,0.4
Sam Mitchell,MIN,33,3,0,3,15.7,5.7,2,4.3,46.2,0,0,0,1.7,2.7,62.5,0.7,1.7,2.3,0.3,0.3,0.3,0.3,3,10.6,0,0,0.3
Christian Laettner,ATL,27,10,4,6,40.2,17.6,6.2,15.3,40.5,0.4,2.1,19,4.8,5.6,85.7,1.9,5.3,7.2,2.6,3.1,1,0.8,3.2,32.4,2,0,0.3
Rumeal Robinson,POR,30,4,1,3,5.8,1.3,0.5,1.5,33.3,0,0.5,0,0.3,0.3,100,0,0.3,0.3,1.3,0.3,0.3,0,1.5,3.9,0,0,0.3
Adam Keefe,UTA,27,9,5,4,6.4,0.9,0.2,0.7,33.3,0,0,0,0.4,0.7,66.7,0.3,1.4,1.8,0.2,0.2,0.2,0.1,0.6,4.1,0,0,0
Charles Jones,HOU,40,1,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0
Dan Majerle,MIA,31,17,8,9,29.2,8,2.7,6.9,39.3,1.5,4.4,33.8,1.1,1.6,67.9,0.9,3.3,4.2,2.5,0.8,1.2,0.2,1.8,20.5,0,0,0
Jermaine O'Neal,POR,18,2,0,2,1.8,0,0,1,0,0,0.5,0,0,1,0,0,0.5,0.5,0,0,0,0.5,0,2.1,0,0,0
Joe Dumars,DET,34,5,2,3,42.6,13.8,4.4,12.2,36.1,1.2,4.6,26.1,3.8,4,95,0.4,1.4,1.8,2,1.2,1,0,1.8,20.8,0,0,0
Kobe Bryant,LAL,18,9,4,5,14.8,8.2,2.3,6.1,38.2,0.7,2.6,26.1,2.9,3.3,86.7,0.1,1.1,1.2,1.2,1.6,0.3,0.2,2.6,11.6,0,0,0
Matt Bullard,HOU,30,2,1,1,3.5,3,1,1,100,1,1,100,0,0,0,0.5,0.5,1,0,0,0,0,0.5,4.2,0,0,0
Mitchell Butler,POR,26,2,0,2,1.8,1,0.5,1,50,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,0
Pooh Richardson,LAC,31,2,0,2,8.9,2,1,2,50,0,0.5,0,0,0.5,0,0,0,0,1.5,0.5,0.5,0,2,5.3,0,0,0
Sedale Threatt,HOU,35,16,9,7,16.5,3.7,1.4,3.5,39.3,0.6,1.9,30,0.4,0.5,75,0.1,0.9,1.1,3,0.8,0.4,0.3,2.2,10.6,0,0,0
Charles Oakley,NYK,33,10,6,4,35.8,9.8,3.8,8.6,44.2,0,0.1,0,2.2,2.9,75.9,2.3,6.5,8.8,1.6,1.8,2.2,0.3,3.7,28.5,4,0,-0.1
Travis Knight,LAL,22,9,4,5,10.3,2.1,0.9,1.1,80,0,0,0,0.3,0.4,75,0.3,1.7,2,0.3,0.2,0.3,0.3,1.8,6.8,0,0,-0.1
Kevin Willis,HOU,34,16,9,7,18.3,6.4,2.4,5.9,40,0,0.1,0,1.6,2.4,68.4,1.4,3.3,4.7,0.7,1.4,0.6,0.3,2.9,14.1,2,0,-0.3
Chris Webber,WAS,24,3,0,3,35.6,15.7,6.3,10,63.3,1.7,3.7,45.5,1.3,2.7,50,2.3,5.7,8,3.3,5.3,0.7,2.3,6,33.9,1,0,-0.3
Jason Caffey,CHI,24,17,14,3,10,2.4,0.9,1.9,45.5,0,0,0,0.6,0.8,78.6,1.5,1,2.5,0.9,0.7,0.2,0.2,1.6,7.1,1,0,-0.4
Dikembe Mutombo,ATL,31,10,4,6,41.5,15.4,5.4,8.6,62.8,0,0,0,4.6,6.4,71.9,3.7,8.6,12.3,1.3,2,0.1,2.6,3,38.2,6,0,-0.4
Tony Smith,CHH,29,2,0,2,4.5,0.5,0,0.5,0,0,0.5,0,0.5,1,50,0,0.5,0.5,1,1.5,0.5,0,0.5,2.6,0,0,-0.5
Darrin Hancock,ATL,25,6,3,3,5.5,0.7,0.3,0.8,40,0,0.2,0,0,0.5,0,0.3,0.5,0.8,0.2,0.2,0.2,0.2,0.8,2.8,0,0,-0.7
Elden Campbell,LAL,28,9,4,5,31,11.8,4.1,10.3,39.8,0.1,0.1,100,3.4,4.2,81.6,1.6,2.8,4.3,1,1.6,0.8,1.4,3.3,23.6,0,0,-0.7
Tracy Murray,WAS,25,3,0,3,29,18.3,5.7,10,56.7,1.7,3.3,50,5.3,5.7,94.1,1,2,3,0.7,0,1.3,0.7,3.3,28.9,0,0,-0.7
Ike Austin,MIA,27,15,7,8,19.1,6.5,2.4,5.4,44.4,0.1,0.3,25,1.7,2.1,80.6,1.1,3.3,4.4,0.4,1.5,0.4,0.5,2.3,13.5,0,0,-0.9
Bo Outlaw,LAC,26,3,0,3,22.1,5,2,3.7,54.5,0,0.3,0,1,3.3,30,2,2.7,4.7,1.3,1,0.3,0.7,1.7,14.6,0,0,-1
Eric Piatkowski,LAC,26,3,0,3,12.5,5.3,1.3,3.7,36.4,0.7,1.7,40,2,2.3,85.7,0.3,0.3,0.7,0,0,0.3,0,1.7,7.1,0,0,-1
Sam Perkins,SEA,36,12,6,6,28.4,8.4,2.6,7.7,33.7,1.2,3.8,31.1,2.1,2.4,86.2,1.3,3.2,4.4,1.3,1.1,1.1,1,2.8,20.8,0,0,-1
Antoine Carr,UTA,35,20,13,7,14,4.9,2,4.2,48.2,0,0,0,0.9,1.2,75,0.6,1.5,2,0.5,0.9,0.3,0.5,3.2,9.3,0,0,-1.2
Chris Dudley,POR,32,4,1,3,17.3,3,1.3,2.8,45.5,0,0,0,0.5,1.5,33.3,2.5,4.5,7,0.8,0,0.5,1.3,4.8,17.8,0,0,-1.3
Mark Strickland,MIA,26,4,3,1,3.8,2,1,2,50,0,0,0,0,0.5,0,0,0.8,0.8,0.3,0.5,0.3,0,0,3.5,0,0,-1.3
Sean Rooks,LAL,27,8,4,4,6.5,1.8,0.5,1.1,44.4,0,0,0,0.8,1,75,0.6,0.9,1.5,0.1,0.4,0.4,0.4,1.3,5.6,0,0,-1.3
John Crotty,MIA,27,15,8,7,8.4,2.5,0.9,2.2,39.4,0.3,0.8,41.7,0.4,0.5,85.7,0.3,0.4,0.7,0.7,0.9,0.3,0,1,4.3,0,0,-1.3
Brent Barry,LAC,25,3,0,3,27.7,11.7,3.7,9,40.7,1.7,3.7,45.5,2.7,3,88.9,0.3,2,2.3,3.3,1.3,1.3,0,3.3,22.1,0,0,-1.3
